Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
320,Portland State Vikings,Portland Oregon,1973,2020,31,900,442,458,.491,-5.87,-2.92,0,2,2,2,0,0
321,Prairie View Panthers,Prairie View Texas,1981,2020,40,1166,348,818,.298,-20.72,-8.19,0,3,2,2,0,0
322,Pratt Institute Cannoneers,Brooklyn New York,1934,1934,1,14,8,6,.571,,,0,0,0,,,
323,Presbyterian Blue Hose,Clinton South Carolina,2011,2020,10,317,108,209,.341,-13.89,-5.30,0,0,0,0,0,0
324,Princeton Tigers,Princeton New Jersey,1901,2020,120,2865,1761,1103,.615,1.38,-3.57,4,30,1,25,1,0
325,Providence Friars,Providence Rhode Island,1929,2020,71,2052,1254,798,.611,7.52,4.34,6,0,2,20,2,0
326,Purdue Boilermakers,West Lafayette Indiana,1897,2020,122,2872,1837,1035,.640,11.83,7.64,22,24,1,31,2,0
327,Purdue-Fort Wayne Mastodons,Fort Wayne Indiana,2003,2020,18,562,263,299,.468,-6.04,-2.39,0,1,0,0,0,0
328,Quinnipiac Bobcats,Hamden Connecticut,1999,2020,22,660,314,346,.476,-8.26,-6.73,0,1,0,0,0,0
329,Radford Highlanders,Radford Virginia,1985,2020,36,1083,566,517,.523,-8.95,-7.04,0,6,3,3,0,0
330,Regis (CO) Rangers,Denver Colorado,1962,1964,3,66,37,29,.561,-4.77,0.04,0,0,0,0,0,0
331,Rensselaer Engineers,Troy New York,1901,1924,4,39,28,11,.718,,,0,0,0,,,
332,Rhode Island Rams,Kingston Rhode Island,1904,2020,114,2680,1535,1145,.573,-1.10,-0.65,0,15,2,10,0,0
333,Rice Owls,Houston Texas,1915,2020,106,2586,1128,1458,.436,-3.27,0.76,0,10,0,4,0,0
334,Richmond Spiders,Richmond Virginia,1913,2020,108,2615,1397,1218,.534,-2.17,-1.49,1,6,6,9,0,0
335,Rider Broncs,Lawrenceville New Jersey,1929,2020,57,1619,855,764,.528,-7.37,-6.06,0,12,3,3,0,0
336,Ripon Red Hawks,Ripon Wisconsin,1902,1922,5,59,46,13,.780,,,0,0,0,,,
337,Roanoke Maroons,Salem Virginia,1912,1919,8,92,67,25,.728,,,0,0,0,,,
338,Robert Morris Colonials,Moon Township Pennsylvania,1977,2020,44,1318,649,669,.492,-8.74,-6.79,0,11,9,8,0,0
339,Rochester (NY) Yellowjackets,Rochester New York,1910,1944,7,111,74,37,.667,,,0,0,0,0,0,0
340,Rose-Hulman Fightin' Engineers,Terre Haute Indiana,1898,1898,1,4,2,2,.500,,,0,0,0,,,
341,Rutgers Scarlet Knights,New Brunswick New Jersey,1914,2020,106,2483,1260,1223,.507,-0.91,0.63,2,9,2,6,1,0
342,Sacramento State Hornets,Sacramento California,1992,2020,29,830,259,571,.312,-12.32,-3.07,0,0,0,0,0,0
343,Sacred Heart Pioneers,Fairfield Connecticut,2000,2020,21,630,244,386,.387,-10.94,-7.00,0,0,0,0,0,0
344,Saint Francis (PA) Red Flash,Loretto Pennsylvania,1956,2020,65,1775,800,975,.451,-9.13,-4.47,0,2,1,1,0,0
345,Saint Joseph's Hawks,Philadelphia Pennsylvania,1910,2020,111,2806,1652,1154,.589,3.86,1.84,6,20,6,21,1,0
346,Saint Louis Billikens,St. Louis Missouri,1916,2020,104,2685,1454,1231,.542,5.01,3.97,10,7,3,10,0,0
347,Saint Mary's (CA) Gaels,Moraga California,1910,2020,111,2614,1367,1247,.523,-1.01,0.30,4,7,4,10,0,0
348,Saint Peter's Peacocks,Jersey City New Jersey,1966,2020,55,1575,780,795,.495,-5.08,-4.02,0,6,3,3,0,0
349,Sam Houston State Bearkats,Huntsville Texas,1987,2020,34,1014,531,483,.524,-7.02,-5.38,0,6,2,2,0,0
350,Samford Bulldogs,Birmingham Alabama,1973,2020,48,1392,603,789,.433,-9.09,-5.30,0,3,2,2,0,0
351,San Diego State Aztecs,San Diego California,1971,2020,50,1509,827,682,.548,3.61,3.33,4,9,7,12,0,0
352,San Diego Toreros,San Diego California,1980,2020,41,1213,600,613,.495,-0.29,0.57,0,2,2,4,0,0
353,San Francisco Dons,San Francisco California,1924,2020,93,2431,1408,1023,.579,2.37,0.63,9,15,1,16,3,2
354,San Jose State Spartans,San Jose California,1938,2020,70,1920,761,1159,.396,-4.19,0.82,0,1,2,2,0,0
355,Santa Clara Broncos,Santa Clara California,1909,2020,111,2634,1509,1125,.573,1.35,0.55,2,11,2,11,1,0
356,Savage School of Physical Education,New York New York,1896,1898,2,8,6,2,.750,,,0,0,0,,,
357,Savannah State Tigers,Savannah Georgia,2003,2019,17,513,189,324,.368,-16.73,-5.37,0,2,0,0,0,0
358,Scranton Royals,Scranton Pennsylvania,1948,1948,1,27,7,20,.259,,,0,0,0,0,0,0
359,Seattle Redhawks,Seattle Washington,1953,2020,38,1065,626,439,.588,1.05,-1.24,5,0,0,11,1,0
360,Seton Hall Pirates,South Orange New Jersey,1909,2020,107,2629,1535,1093,.584,3.64,3.59,8,4,3,13,1,0
361,Sewanee Tigers,Sewanee Tennessee,1923,1941,19,248,48,200,.194,,,0,0,0,0,0,0
362,Siena Saints,Loudonville New York,1939,2020,62,1712,938,774,.548,-4.10,-3.46,1,10,6,6,0,0
363,South Alabama Jaguars,Mobile Alabama,1972,2020,49,1437,807,630,.562,-0.86,-1.62,0,12,5,8,0,0
364,South Carolina Gamecocks,Columbia South Carolina,1909,2020,112,2713,1444,1268,.532,4.20,3.44,8,7,2,9,1,0
365,South Carolina State Bulldogs,Orangeburg South Carolina,1972,2020,49,1448,698,750,.482,-13.24,-10.53,0,8,5,5,0,0
366,South Carolina Upstate Spartans,Spartanburg South Carolina,2011,2020,10,329,138,191,.419,-8.82,-4.37,0,0,0,0,0,0
367,South Dakota Coyotes,Vermillion South Dakota,2011,2020,10,317,162,155,.511,-4.58,-3.30,0,1,0,0,0,0
368,South Dakota State Jackrabbits,Brookings South Dakota,2009,2020,12,400,259,141,.648,1.86,-2.67,0,6,5,5,0,0
369,South Florida Bulls,Tampa Florida,1974,2020,47,1394,637,757,.457,1.26,3.05,0,1,1,3,0,0
370,Southeast Missouri State Redhawks,Cape Girardeau Missouri,1992,2020,29,859,354,505,.412,-8.82,-4.75,0,1,1,1,0,0
371,Southeastern Louisiana Lions,Hammond Louisiana,1981,2020,39,1130,490,640,.434,-10.93,-6.34,0,5,1,1,0,0
372,Southern California Trojans,Los Angeles California,1907,2020,114,2863,1641,1222,.573,7.88,6.20,9,7,1,18,2,0
373,Southern Illinois Salukis,Carbondale Illinois,1968,2020,53,1581,878,703,.555,2.73,2.11,1,9,5,10,0,0
374,Southern Illinois-Edwardsville Cougars,Edwardsville Illinois,2011,2020,10,292,89,203,.305,-12.88,-4.37,0,0,0,0,0,0
375,Southern Jaguars,Baton Rouge Louisiana,1978,2020,43,1279,666,613,.521,-10.20,-10.00,0,8,9,9,0,0
376,Southern Methodist Mustangs,Dallas Texas,1917,2020,104,2601,1365,1236,.525,2.51,1.82,5,15,3,12,1,0
377,Southern Mississippi Golden Eagles,Hattiesburg Mississippi,1967,2020,49,1443,749,694,.519,0.66,1.82,1,2,0,3,0,0
378,Southern Utah Thunderbirds,Cedar City Utah,1989,2020,32,937,398,539,.425,-7.45,-3.67,0,2,3,1,0,0
379,Southwestern (KS) Moundbuilders,Winfield Kansas,1905,1923,19,289,212,77,.734,,,0,0,0,,,
380,Southwestern (TX) Pirates,Georgetown Texas,1915,1916,2,10,1,9,.100,,,0,0,0,,,
381,Springfield Pride,Springfield Massachusetts,1897,1935,30,406,268,138,.660,,,0,0,0,,,
382,St. Bonaventure Bonnies,St. Bonaventure New York,1920,2020,100,2431,1381,1050,.568,2.03,1.51,6,7,1,7,1,0
383,St. Francis (NY) Terriers,Brooklyn Heights New York,1902,2020,101,2540,1240,1300,.488,-11.62,-5.64,0,6,0,0,0,0
384,St. John's (NY) Red Storm,Queens New York,1908,2020,113,2962,1917,1045,.647,8.43,5.03,15,14,3,30,2,0
385,St. John's College (OH),Toledo Ohio,1921,1921,1,15,15,0,1.000,,,0,0,0,,,
386,St. Lawrence Saints,Canton New York,1902,1914,7,99,70,29,.707,,,0,0,0,,,
387,Stanford Cardinal,Stanford California,1914,2020,105,2724,1549,1175,.569,7.89,6.09,10,11,1,17,2,1
388,Stephen F. Austin Lumberjacks,Nacogdoches Texas,1987,2020,34,1003,577,426,.575,-5.68,-6.65,0,9,5,5,0,0
389,Stetson Hatters,DeLand Florida,1972,2020,49,1406,637,769,.453,-8.28,-4.52,0,0,0,0,0,0
390,Stevens Institute Ducks,Hoboken New Jersey,1917,1920,4,48,37,11,.771,,,0,0,0,,,
391,Stony Brook Seawolves,Stony Brook New York,2000,2020,21,650,331,319,.509,-6.33,-5.43,0,4,1,1,0,0
392,SUNY-Potsdam Bears,Potsdam New York,1910,1913,2,32,22,10,.688,,,0,0,0,,,
393,Swarthmore Garnet,Swarthmore Pennsylvania,1906,1919,11,133,92,41,.692,,,0,0,0,,,
394,Syracuse Orange,Syracuse New York,1899,2020,120,2949,2026,922,.687,9.66,3.91,30,10,5,40,6,1
395,Temple Owls,Philadelphia Pennsylvania,1895,2020,124,3036,1940,1096,.639,6.42,2.60,9,20,10,33,2,0
396,Tennessee State Tigers,Nashville Tennessee,1978,2020,43,1237,529,708,.428,-8.59,-4.67,0,2,2,2,0,0
397,Tennessee Tech Golden Eagles,Cookeville Tennessee,1944,2020,66,1804,885,919,.491,-6.60,-3.65,0,7,1,2,0,0
398,Tennessee Volunteers,Knoxville Tennessee,1909,2020,111,2740,1673,1065,.611,8.42,5.18,13,13,4,22,0,0
399,Tennessee-Martin Skyhawks,Martin Tennessee,1993,2020,28,829,314,515,.379,-11.14,-4.18,0,1,0,0,0,0
400,Texas A&M Aggies,College Station Texas,1913,2020,108,2729,1440,1289,.528,2.44,2.50,4,12,2,14,0,0
401,Texas A&M-Corpus Christi Islanders,Corpus Christi Texas,2003,2020,18,558,287,271,.514,-6.17,-4.72,0,1,1,1,0,0
402,Texas Christian Horned Frogs,Fort Worth Texas,1914,2020,107,2656,1239,1417,.466,0.21,1.96,3,11,0,8,0,0
403,Texas Longhorns,Austin Texas,1906,2020,114,2906,1808,1098,.622,6.25,3.65,11,25,2,34,3,0
404,Texas Southern Tigers,Houston Texas,1978,2020,43,1285,639,646,.497,-10.52,-8.40,0,12,8,8,0,0
405,Texas State Bobcats,San Marcos Texas,1985,2020,36,1061,486,575,.458,-8.21,-5.49,0,3,2,2,0,0
406,Texas Tech Red Raiders,Lubbock Texas,1926,2020,92,2481,1392,1089,.561,4.35,2.60,6,13,5,17,1,0
407,Texas Wesleyan Rams,Fort Worth Texas,1948,1948,1,30,19,11,.633,,,0,0,0,0,0,0
408,Texas-Arlington Mavericks,Arlington Texas,1969,2020,52,1497,690,807,.461,-7.94,-4.47,0,3,1,1,0,0
409,Texas-El Paso Miners,El Paso Texas,1923,2020,92,2370,1352,1018,.570,2.75,0.71,4,11,5,17,1,1
410,Texas-Rio Grande Valley Vaqueros,Edinburg Texas,1969,2020,52,1470,633,837,.431,-8.34,-3.14,0,0,0,0,0,0
411,Texas-San Antonio Roadrunners,San Antonio Texas,1982,2020,39,1154,576,578,.499,-5.90,-4.49,0,3,4,4,0,0
412,Toledo Rockets,Toledo Ohio,1916,2020,105,2568,1471,1097,.573,0.85,-0.27,2,10,1,4,0,0
413,Towson Tigers,Towson Maryland,1980,2020,41,1220,515,705,.422,-7.83,-4.28,0,4,3,2,0,0
414,Trinity (CT) Bantams,Hartford Connecticut,1897,1911,8,81,28,53,.346,,,0,0,0,,,
415,Trinity (TX) Tigers,San Antonio Texas,1971,1973,3,70,25,45,.357,-24.37,-5.64,0,0,0,0,0,0
416,Troy Trojans,Troy Alabama,1994,2020,27,809,380,429,.470,-7.56,-5.03,0,6,2,2,0,0
417,Tulane Green Wave,New Orleans Louisiana,1906,2020,110,2548,1231,1317,.483,-1.17,1.20,1,6,0,3,0,0
418,Tulsa Golden Hurricane,Tulsa Oklahoma,1914,2020,107,2639,1471,1168,.557,5.07,3.20,5,11,6,16,0,0
419,U.S. International Gulls,San Diego California,1982,1991,10,279,69,210,.247,-18.06,-5.34,0,0,0,0,0,0
420,UC-Davis Aggies,Davis California,2008,2020,13,412,180,232,.437,-6.18,-2.49,0,2,1,1,0,0
421,UC-Irvine Anteaters,Irvine California,1978,2020,43,1301,647,654,.497,-1.42,0.23,0,7,2,2,0,0
422,UC-Riverside Highlanders,Riverside California,2002,2020,19,567,198,369,.349,-8.47,-2.06,0,0,0,0,0,0
423,UC-Santa Barbara Gauchos,Santa Barbara California,1964,2020,57,1619,861,758,.532,-0.34,0.00,0,4,3,5,0,0
424,UCLA Bruins,Los Angeles California,1920,2020,101,2777,1909,868,.687,15.48,6.91,41,31,4,49,18,11
425,Union (NY) Dutchmen,Schenectady New York,1907,1925,19,266,162,104,.609,,,0,0,0,,,
426,University of California Golden Bears,Berkeley California,1908,2020,111,2835,1635,1200,.577,7.09,6.06,5,14,0,19,3,1
427,Utah State Aggies,Logan Utah,1904,2020,115,2757,1630,1127,.591,3.85,0.92,5,16,10,21,0,0
428,Utah Utes,Salt Lake City Utah,1909,2020,112,2854,1835,1019,.643,8.14,3.64,21,30,5,29,4,1
429,Utah Valley Wolverines,Orem Utah,2010,2020,11,350,184,166,.526,-6.29,-5.10,0,3,0,0,0,0
430,Utica Pioneers,Utica New York,1982,1987,6,158,64,94,.405,-12.95,-7.35,0,0,0,0,0,0
431,Valparaiso Crusaders,Valparaiso Indiana,1918,2020,85,2168,1148,1020,.530,-4.13,-1.57,0,14,10,9,0,0
432,Vanderbilt Commodores,Nashville Tennessee,1901,2020,118,2804,1617,1187,.577,8.27,4.94,11,3,3,15,0,0
433,Vermont Catamounts,Burlington Vermont,1921,2020,65,1777,950,827,.535,-10.13,-7.14,0,11,7,7,0,0
434,Villanova Wildcats,Villanova Pennsylvania,1921,2020,100,2745,1803,942,.657,10.25,5.68,24,13,7,39,6,3
435,Virginia Cavaliers,Charlottesville Virginia,1906,2020,115,2831,1655,1175,.585,6.83,5.53,14,10,3,23,3,1
436,Virginia Commonwealth Rams,Richmond Virginia,1974,2020,47,1448,936,512,.646,5.26,0.68,3,11,9,17,1,0
437,Virginia Military Institute Keydets,Lexington Virginia,1909,2020,112,2463,906,1557,.368,-12.98,-4.79,1,2,3,3,0,0
438,Virginia Tech Hokies,Blacksburg Virginia,1909,2020,112,2716,1480,1236,.545,3.79,1.51,2,2,1,11,0,0
439,Wabash Little Giants,Crawfordsville Indiana,1897,1925,29,407,301,106,.740,,,0,0,0,,,
440,Wagner Seahawks,Staten Island New York,1966,2020,48,1380,665,715,.482,-9.81,-7.40,0,3,1,1,0,0
441,Wake Forest Demon Deacons,Winston-Salem North Carolina,1906,2020,114,2804,1550,1254,.553,8.01,6.20,17,4,5,23,1,0
442,Washburn Ichabods,Topeka Kansas,1906,1941,35,557,270,283,.488,,,0,0,0,0,0,0
443,Washington & Jefferson Presidents,Washington Pennsylvania,1913,1944,10,128,73,55,.570,,,0,0,0,0,0,0
444,Washington & Lee Generals,Lexington Virginia,1907,1959,51,905,472,432,.522,-15.29,-5.66,0,3,2,0,0,0
445,Washington (MO) Bears,St. Louis Missouri,1905,1960,52,921,433,488,.470,-5.26,-1.82,0,2,0,0,0,0
446,Washington College Shoremen,Chestertown Maryland,1913,1925,13,151,109,42,.722,,,0,0,0,,,
447,Washington Huskies,Seattle Washington,1896,2020,119,3015,1812,1203,.601,7.50,6.03,8,12,3,17,1,0
448,Washington State Cougars,Pullman Washington,1902,2020,119,3152,1609,1543,.510,2.95,4.85,3,2,0,6,1,0
449,Wayne State (MI) Warriors,Detroit Michigan,1928,1950,5,104,47,57,.452,,,0,0,0,0,0,0
450,Weber State Wildcats,Ogden Utah,1964,2020,57,1680,1051,629,.626,0.22,-2.58,1,22,10,16,0,0
451,Wesleyan (CT) Cardinals,Middletown Connecticut,1896,1913,13,171,97,74,.567,,,0,0,0,,,
452,West Chester Golden Rams,West Chester Pennsylvania,1899,1982,10,244,86,158,.352,-17.60,-8.15,0,1,0,0,0,0
453,West Texas A&M Buffaloes,Canyon Texas,1921,1986,54,1275,707,568,.555,-6.34,-1.65,0,4,0,1,0,0
454,West Virginia Mountaineers,Morgantown West Virginia,1904,2020,111,2902,1792,1110,.618,7.22,2.63,18,16,13,29,2,0
455,Western Carolina Catamounts,Cullowhee North Carolina,1977,2020,44,1295,569,726,.439,-8.53,-3.79,0,3,1,1,0,0
456,Western Colorado Mountaineers,Gunnison Colorado,1924,1937,14,189,88,101,.466,,,0,0,0,,,
457,Western Illinois Leathernecks,Macomb Illinois,1982,2020,39,1116,459,657,.411,-8.62,-3.67,0,2,1,0,0,0
458,Western Kentucky Hilltoppers,Bowling Green Kentucky,1922,2020,99,2747,1812,935,.660,3.33,-0.13,11,28,19,23,1,0
459,Western Michigan Broncos,Kalamazoo Michigan,1914,2020,107,2580,1347,1232,.522,-2.67,-0.12,1,10,2,4,0,0
460,Westminster (MO) Blue Jays,Fulton Missouri,1920,1920,1,17,17,0,1.000,,,0,0,0,,,
461,Westminster (PA) Titans,New Wilmington Pennsylvania,1898,1935,21,294,210,84,.714,,,0,0,0,,,
462,Wheaton (IL) Thunder,Wheaton Illinois,1902,1905,4,57,39,17,.696,,,0,0,0,,,
463,Whittier Poets,Whittier California,1909,1915,3,42,38,3,.927,,,0,0,0,,,
464,Wichita State Shockers,Wichita Kansas,1906,2020,113,2820,1609,1211,.571,6.06,3.27,8,11,4,15,2,0
465,Widener Pride,Chester Pennsylvania,1899,1909,5,26,20,6,.769,,,0,0,0,,,
466,William & Mary Tribe,Williamsburg Virginia,1906,2020,115,2668,1254,1414,.470,-5.38,-2.61,0,3,0,0,0,0
467,Williams Ephs,Williamstown Massachusetts,1901,1911,10,161,136,24,.850,,,0,0,0,,,
468,Winthrop Eagles,Rock Hill South Carolina,1987,2020,34,1028,559,469,.544,-7.58,-6.79,1,10,12,10,0,0
469,Wisconsin Badgers,Madison Wisconsin,1899,2020,122,2859,1635,1224,.572,8.62,7.75,17,19,3,24,4,1
470,Wisconsin-Stevens Point Pointers,Stevens Point Wisconsin,1898,1918,21,156,98,58,.628,,,0,0,0,,,
471,Wisconsin-Superior Yellowjackets,Superior Wisconsin,1900,1901,2,14,10,4,.714,,,0,0,0,,,
472,Wittenberg Tigers,Springfield Ohio,1931,1931,1,20,18,2,.900,,,0,0,0,,,
473,Wofford Terriers,Spartanburg South Carolina,1996,2020,25,772,386,386,.500,-5.25,-2.73,1,4,5,5,0,0
474,Wooster Fighting Scots,Wooster Ohio,1901,1931,31,390,225,165,.577,,,0,0,0,,,
475,Worcester Tech Engineers,Worcester Massachusetts,1920,1920,1,16,14,2,.875,,,0,0,0,,,
476,Wright State Raiders,Dayton Ohio,1988,2020,33,1003,555,448,.553,-1.58,-2.20,0,3,3,3,0,0
477,Wyoming Cowboys,Laramie Wyoming,1905,2020,115,2754,1546,1208,.561,2.70,2.71,4,21,3,15,1,1
478,Xavier Musketeers,Cincinnati Ohio,1920,2020,99,2527,1509,1018,.597,5.68,3.72,12,18,9,28,0,0
479,Yale Bulldogs,New Haven Connecticut,1896,2020,125,2992,1503,1486,.503,-6.41,-4.60,1,15,1,5,0,0
480,Youngstown State Penguins,Youngstown Ohio,1948,2020,40,1165,450,715,.386,-8.45,-3.21,0,0,0,0,0,0
